Frame,Class,Confidence,X1,Y1,X2,Y2
0,0,0.9323828220367432,0.0,12.3958740234375,349.42523193359375,1066.5809326171875
0,0,0.8599837422370911,402.7894287109375,273.50018310546875,516.20654296875,593.7372436523438
0,0,0.817879319190979,545.8682250976562,272.23651123046875,640.3327026367188,587.6666259765625
0,0,0.811179518699646,880.2779541015625,152.7664794921875,1116.9779052734375,776.682861328125
1,0,0.9351537823677063,0.41565796732902527,6.626875877380371,341.5048828125,1071.1429443359375
1,0,0.8749741315841675,396.379150390625,270.8613586425781,509.8785400390625,591.9031372070312
1,0,0.8337693214416504,542.4271850585938,269.3436279296875,636.5349731445312,590.002685546875
1,0,0.8322277665138245,872.511962890625,155.75047302246094,1108.5107421875,777.7525634765625
2,0,0.9336429238319397,0.8548345565795898,6.8540472984313965,334.2043151855469,1072.64306640625
2,0,0.8664105534553528,388.4057922363281,271.6188659667969,506.26055908203125,591.4509887695312
2,0,0.8672261238098145,538.1631469726562,268.29412841796875,633.0698852539062,589.2750854492188
2,0,0.8548089861869812,872.0005493164062,160.21107482910156,1094.3441162109375,782.80126953125
3,0,0.9212664365768433,0.18520447611808777,3.9058258533477783,323.9716491699219,1062.8173828125
3,0,0.8900180459022522,380.7396240234375,268.5614929199219,500.7864685058594,593.2842407226562
3,0,0.8617870211601257,530.7591552734375,265.2232971191406,626.0957641601562,591.45263671875
3,0,0.8657650351524353,877.8621215820312,160.7880401611328,1087.65087890625,784.3900756835938
4,0,0.9230173826217651,0.0,9.943672180175781,309.27288818359375,1058.864013671875
4,0,0.8846532702445984,373.3629455566406,268.6980895996094,493.02667236328125,594.1018676757812
4,0,0.8653401136398315,526.9219360351562,264.4325866699219,622.8257446289062,594.7902221679688
4,0,0.875905454158783,883.533203125,155.87960815429688,1083.091064453125,788.3545532226562
5,0,0.897339403629303,0.0,14.594247817993164,288.223388671875,1071.0655517578125
5,0,0.8800201416015625,366.5183410644531,259.7081604003906,483.13140869140625,595.413818359375
5,0,0.8552229404449463,522.1921997070312,262.4915466308594,620.1097412109375,597.502197265625
5,0,0.8705503344535828,891.6976318359375,157.57801818847656,1081.0865478515625,782.1347045898438
6,0,0.9113641977310181,0.0,61.69600296020508,271.65045166015625,1071.0262451171875
6,0,0.8772589564323425,359.0867614746094,259.06451416015625,477.9513244628906,598.5367431640625
6,0,0.8562914729118347,516.5331420898438,260.1757507324219,617.3035278320312,600.328857421875
6,0,0.8742278814315796,895.4137573242188,167.48573303222656,1079.7257080078125,776.2467041015625
7,0,0.9034523963928223,0.0,75.07599639892578,253.7072296142578,1068.19140625
7,0,0.876100480556488,351.30462646484375,258.992919921875,473.6379089355469,603.951171875
7,0,0.8363348245620728,513.4376220703125,260.0050354003906,610.0834350585938,604.18017578125
7,0,0.8513118028640747,895.8358154296875,164.08900451660156,1077.76171875,782.3456420898438
8,0,0.8631688356399536,0.0,82.22608184814453,227.6201934814453,1062.0245361328125
8,0,0.8680318593978882,346.5948791503906,261.39349365234375,469.281005859375,604.9954223632812
8,0,0.8416650891304016,507.0773010253906,265.4814147949219,608.341796875,608.8258666992188
8,0,0.859340250492096,888.1281127929688,159.36019897460938,1072.242919921875,781.2626342773438
9,0,0.8138610124588013,0.0,90.88983917236328,203.5211639404297,1060.6207275390625
9,0,0.8547378778457642,337.7143859863281,265.0889587402344,463.47906494140625,607.6000366210938
9,0,0.8453537821769714,500.47418212890625,261.1401062011719,605.4761352539062,609.5606079101562
9,0,0.84943026304245,887.1991577148438,160.2637481689453,1069.4403076171875,785.8235473632812
10,0,0.817857563495636,0.01661706157028675,97.9841079711914,186.22654724121094,1042.65966796875
10,0,0.869455099105835,331.57177734375,267.4809875488281,460.2909851074219,611.5601806640625
10,0,0.8689002394676208,494.2514953613281,259.83441162109375,601.6089477539062,614.106201171875
10,0,0.8408962488174438,876.5492553710938,160.70982360839844,1068.234619140625,802.9605712890625
11,0,0.8034411668777466,0.0,82.09041595458984,158.92039489746094,804.123291015625
11,0,0.8872343897819519,323.35870361328125,266.30419921875,455.5566101074219,615.9526977539062
11,0,0.8711586594581604,490.757080078125,260.20526123046875,599.345458984375,616.9334716796875
11,0,0.8601664304733276,864.2793579101562,162.2842254638672,1064.3038330078125,795.0955810546875
12,0,0.7864673137664795,0.0317753367125988,106.83401489257812,140.6526336669922,740.77294921875
12,0,0.8895076513290405,317.3178405761719,264.1371765136719,453.38641357421875,620.9486083984375
